subid,frame_num,face_openpose,hand_openpose,nose_conf,wrist_conf
161538-Baby_Scene.json,10274,False,False,,
161538-Baby_Scene.json,10275,False,False,,
161538-Baby_Scene.json,10276,False,False,,
161538-Baby_Scene.json,10277,False,False,,
161538-Baby_Scene.json,10278,False,False,,
161538-Baby_Scene.json,10279,False,False,,
161538-Baby_Scene.json,1028,False,False,,
161538-Baby_Scene.json,10280,False,False,,
161538-Baby_Scene.json,10281,False,False,,
161538-Baby_Scene.json,10282,False,False,,
161538-Baby_Scene.json,10283,False,False,,
161538-Baby_Scene.json,10284,False,False,,
161538-Baby_Scene.json,10285,False,False,,
161538-Baby_Scene.json,10286,False,False,,
161538-Baby_Scene.json,10287,False,False,,
161538-Baby_Scene.json,10288,False,False,,
161538-Baby_Scene.json,10289,False,False,0.0,0.0
161538-Baby_Scene.json,1029,False,False,,
161538-Baby_Scene.json,10290,False,False,,
161538-Baby_Scene.json,10291,False,False,,
161538-Baby_Scene.json,10292,False,False,,
161538-Baby_Scene.json,10293,False,False,,
161538-Baby_Scene.json,10294,False,False,,
161538-Baby_Scene.json,10295,False,False,,
161538-Baby_Scene.json,10296,False,False,,
161538-Baby_Scene.json,10297,False,False,,
161538-Baby_Scene.json,10298,False,False,,
161538-Baby_Scene.json,10299,False,False,,
161538-Baby_Scene.json,103,False,True,0.0,0.13557575
161538-Baby_Scene.json,1030,False,False,,
161538-Baby_Scene.json,10300,False,False,,
161538-Baby_Scene.json,10301,False,False,,
161538-Baby_Scene.json,10302,False,False,,
161538-Baby_Scene.json,10303,False,False,,
161538-Baby_Scene.json,10304,False,False,,
161538-Baby_Scene.json,10305,False,False,,
161538-Baby_Scene.json,10306,False,False,,
161538-Baby_Scene.json,10307,False,False,,
161538-Baby_Scene.json,10308,False,False,,
161538-Baby_Scene.json,10309,True,False,0.275256,0.0
161538-Baby_Scene.json,1031,False,True,0.0,0.2669855
161538-Baby_Scene.json,10310,False,False,,
161538-Baby_Scene.json,10311,False,False,,
161538-Baby_Scene.json,10312,False,False,,
161538-Baby_Scene.json,10313,False,False,,
161538-Baby_Scene.json,10314,False,False,,
161538-Baby_Scene.json,10315,False,False,,
161538-Baby_Scene.json,10316,False,False,,
161538-Baby_Scene.json,10317,False,False,,
161538-Baby_Scene.json,10318,False,False,,
161538-Baby_Scene.json,10319,False,True,0.0,0.0791525
161538-Baby_Scene.json,1032,False,False,,
161538-Baby_Scene.json,10320,False,True,0.0,0.674298
161538-Baby_Scene.json,10321,False,True,0.0,0.7096055
161538-Baby_Scene.json,10322,False,True,0.0,0.6712865
161538-Baby_Scene.json,10323,True,True,0.0966179,0.3457395
161538-Baby_Scene.json,10324,True,True,0.268861,0.657191
161538-Baby_Scene.json,10325,True,True,0.119694,0.0291694
161538-Baby_Scene.json,10326,True,True,0.464966,0.5559455
161538-Baby_Scene.json,10327,True,True,0.617487,0.6029525
161538-Baby_Scene.json,10328,True,True,0.645894,0.395502
161538-Baby_Scene.json,10329,True,True,0.637271,0.527601
161538-Baby_Scene.json,1033,False,False,,
161538-Baby_Scene.json,10330,True,True,0.608352,0.544289
161538-Baby_Scene.json,10331,True,True,0.661014,0.4087615
161538-Baby_Scene.json,10332,True,True,0.254154,0.220932
161538-Baby_Scene.json,10333,True,True,0.2318743333,0.0944723167
161538-Baby_Scene.json,10334,True,True,0.470327,0.160857
161538-Baby_Scene.json,10335,True,True,0.496861,0.17168685
161538-Baby_Scene.json,10336,True,False,0.26299,0.0
161538-Baby_Scene.json,10337,True,True,0.1509916667,0.0331214
161538-Baby_Scene.json,10338,True,False,0.1606343333,0.0
161538-Baby_Scene.json,10339,True,True,0.348471,0.0996715
161538-Baby_Scene.json,1034,False,False,,
161538-Baby_Scene.json,10340,True,True,0.10477,0.189033
161538-Baby_Scene.json,10341,False,False,,
161538-Baby_Scene.json,10342,False,False,,
161538-Baby_Scene.json,10343,False,False,,
161538-Baby_Scene.json,10344,True,True,0.0798533,0.0580655
161538-Baby_Scene.json,10345,False,True,0.0,0.1024695
161538-Baby_Scene.json,10346,False,False,,
161538-Baby_Scene.json,10347,True,True,0.0710861,0.102026
161538-Baby_Scene.json,10348,True,True,0.0506743,0.118656
161538-Baby_Scene.json,10349,True,True,0.184495,0.285434
161538-Baby_Scene.json,1035,False,True,0.0,0.31213
161538-Baby_Scene.json,10350,False,False,,
161538-Baby_Scene.json,10351,False,False,,
161538-Baby_Scene.json,10352,False,False,,
161538-Baby_Scene.json,10353,False,False,,
161538-Baby_Scene.json,10354,False,True,0.0,0.163114
161538-Baby_Scene.json,10355,False,False,,
161538-Baby_Scene.json,10356,False,False,,
161538-Baby_Scene.json,10357,True,True,0.0638855,0.10687825
161538-Baby_Scene.json,10358,False,True,0.0,0.076176
161538-Baby_Scene.json,10359,False,False,0.0,0.0
161538-Baby_Scene.json,1036,False,False,,
161538-Baby_Scene.json,10360,False,True,0.0,0.121783
161538-Baby_Scene.json,10361,False,False,,
161538-Baby_Scene.json,10362,False,False,0.0,0.0
161538-Baby_Scene.json,10363,False,False,,
161538-Baby_Scene.json,10364,False,False,,
161538-Baby_Scene.json,10365,False,False,,
161538-Baby_Scene.json,10366,False,False,,
161538-Baby_Scene.json,10367,False,False,,
161538-Baby_Scene.json,10368,False,False,,
161538-Baby_Scene.json,10369,False,False,,
161538-Baby_Scene.json,1037,False,False,,
161538-Baby_Scene.json,10370,True,True,0.0576781,0.068531
161538-Baby_Scene.json,10371,False,False,,
161538-Baby_Scene.json,10372,True,True,0.129361,0.1012145
161538-Baby_Scene.json,10373,True,True,0.17814,0.1464965
161538-Baby_Scene.json,10374,True,True,0.115739,0.2136295
161538-Baby_Scene.json,10375,False,False,,
161538-Baby_Scene.json,10376,False,False,,
161538-Baby_Scene.json,10377,False,False,,
161538-Baby_Scene.json,10378,False,False,,
161538-Baby_Scene.json,10379,False,False,,
161538-Baby_Scene.json,1038,False,False,,
161538-Baby_Scene.json,10380,True,True,0.164947,0.2078265
161538-Baby_Scene.json,10381,True,True,0.235675,0.188954
161538-Baby_Scene.json,10382,False,False,0.0,0.0
161538-Baby_Scene.json,10383,False,False,0.0,0.0
161538-Baby_Scene.json,10384,False,False,,
161538-Baby_Scene.json,10385,False,False,,
161538-Baby_Scene.json,10386,False,False,,
161538-Baby_Scene.json,10387,False,False,,
161538-Baby_Scene.json,10388,False,False,,
161538-Baby_Scene.json,10389,False,False,,
161538-Baby_Scene.json,1039,False,True,0.0,0.2894
161538-Baby_Scene.json,10390,False,False,,
161538-Baby_Scene.json,10391,False,False,,
161538-Baby_Scene.json,10392,False,False,,
161538-Baby_Scene.json,10393,False,False,,
161538-Baby_Scene.json,10394,False,False,,
161538-Baby_Scene.json,10395,False,False,,
161538-Baby_Scene.json,10396,True,True,0.161815,0.0823375
161538-Baby_Scene.json,10397,True,True,0.252226,0.196893
161538-Baby_Scene.json,10398,True,True,0.311144,0.137152
161538-Baby_Scene.json,10399,True,True,0.220695,0.2785255
161538-Baby_Scene.json,104,False,True,0.0,0.277292
161538-Baby_Scene.json,1040,False,False,,
161538-Baby_Scene.json,10400,True,True,0.120688,0.2744035
161538-Baby_Scene.json,10401,True,True,0.171182,0.1733745
161538-Baby_Scene.json,10402,True,True,0.082302,0.12658475
161538-Baby_Scene.json,10403,True,True,0.1057813333,0.1032145
161538-Baby_Scene.json,10404,True,True,0.071084,0.13332925
161538-Baby_Scene.json,10405,True,True,0.1229904667,0.0388915
161538-Baby_Scene.json,10406,False,False,,
161538-Baby_Scene.json,10407,True,True,0.0356739,0.043053375
161538-Baby_Scene.json,10408,True,True,0.0219793,0.0994173333
161538-Baby_Scene.json,10409,False,True,0.0,0.283971
161538-Baby_Scene.json,1041,False,False,,
161538-Baby_Scene.json,10410,True,True,0.124706,0.2795645
161538-Baby_Scene.json,10411,True,True,0.11764785,0.3075895
161538-Baby_Scene.json,10412,True,True,0.238504,0.26391575
161538-Baby_Scene.json,10413,True,True,0.4001195,0.42985225
161538-Baby_Scene.json,10414,True,True,0.492562,0.38371525
161538-Baby_Scene.json,10415,True,True,0.59912,0.4728695
161538-Baby_Scene.json,10416,True,True,0.3504585,0.36141575
161538-Baby_Scene.json,10417,True,True,0.310859,0.1748785
161538-Baby_Scene.json,10418,True,True,0.192914,0.365444
161538-Baby_Scene.json,10419,True,True,0.0678772,0.190002
161538-Baby_Scene.json,1042,True,True,0.375746,0.191871
161538-Baby_Scene.json,10420,False,False,,
161538-Baby_Scene.json,10421,False,False,,
161538-Baby_Scene.json,10422,False,False,,
161538-Baby_Scene.json,10423,False,False,,
161538-Baby_Scene.json,10424,False,False,,
161538-Baby_Scene.json,10425,False,False,,
161538-Baby_Scene.json,10426,False,True,0.0,0.1177207
161538-Baby_Scene.json,10427,False,True,0.0,0.2387465
161538-Baby_Scene.json,10428,True,True,0.104598,0.1941705
161538-Baby_Scene.json,10429,False,False,,
161538-Baby_Scene.json,1043,False,False,,
161538-Baby_Scene.json,10430,False,False,,
161538-Baby_Scene.json,10431,False,True,0.0,0.3253605
161538-Baby_Scene.json,10432,False,False,,
161538-Baby_Scene.json,10433,False,False,,
161538-Baby_Scene.json,10434,False,False,,
161538-Baby_Scene.json,10435,False,False,,
161538-Baby_Scene.json,10436,False,False,,
161538-Baby_Scene.json,10437,False,False,,
161538-Baby_Scene.json,10438,False,False,,
161538-Baby_Scene.json,10439,False,False,,
161538-Baby_Scene.json,1044,False,False,,
161538-Baby_Scene.json,10440,False,False,,
161538-Baby_Scene.json,10441,False,False,,
161538-Baby_Scene.json,10442,False,False,,
161538-Baby_Scene.json,10443,False,False,,
161538-Baby_Scene.json,10444,False,False,,
161538-Baby_Scene.json,10445,False,False,,
161538-Baby_Scene.json,10446,False,False,,
161538-Baby_Scene.json,10447,False,False,,
161538-Baby_Scene.json,10448,False,False,,
161538-Baby_Scene.json,10449,False,False,,
161538-Baby_Scene.json,1045,False,True,0.0,0.226273
161538-Baby_Scene.json,10450,False,False,,
161538-Baby_Scene.json,10451,False,False,,
161538-Baby_Scene.json,10452,False,False,,
